Category,Resume
Advocate,"TECHNICAL QUALIFICATIONS: Ã¢Â€Â¢ Windows, Ms. OfficeEducation Details 
 LL.B  Guwahati, Assam University Law College, Guwahati University
 B.Sc  Jagiroad, ASSAM, IN Jagiroad College
    Morigaon College
Advocate 

Advocate - Gauhati High Court
Skill Details 
Company Details 
company - Gauhati High Court
description - of the Gauhati High Court and other subordinate Courts and Tribunals and Statutory Bodies in Guwahati from 2008. Numerous experiences of Civil, Criminal cases, cases under consumer forum.
Ã¢Â€Â¢ Handling a good number of Civil as well as Criminal Matters in District & Sessions Judge Court, Judge Court, C.J.M. Court, and Consumer Forum & also in the High Court.
Ã¢Â€Â¢ Working as Executive (Legal) at Hindustan Paper Corporation Limited (A Govt. of India Enterprise), Nagaon Paper Mill since Jan '2012.
STRENGTH: 
Ã¢Â€Â¢ Adaptability: A penchant to adapt to the conditions & level of the environment accordance with the requirement of the given situation.
Ã¢Â€Â¢ Interpersonal: An extrovert to the core, prefer to interact with people of all walks of life and varying strata of society. Ability to quickly establish rapport with others.
Ã¢Â€Â¢ Team Work: Enjoy being a part of a group & achieve combined goals.
ROLES AND RESPONSIBILITIES AT HPC LTD 
Ã¢Â€Â¢ Assisting in briefing counsels on matters relating to Nagaon Paper Mill, Cachar Paper Mill and also Nagaland Pulp and Paper Corporation Ltd.
Ã¢Â€Â¢ The task of legal vetting in all NIBs/NITs terms and conditions etc.
Ã¢Â€Â¢ Providing Legal views to protect the interest of the Corporation.
Ã¢Â€Â¢ Assisting in formulation and drafting of all Disciplinary matters.
Ã¢Â€Â¢ Liaisoning with all local bodies and also other forums."
Advocate,"Education Details 
 B.Com, LL.B.,   University of Clacutta, University of Burdwan
ADVOCATE 


Skill Details 
Taxation matters Income Tax GST P Tax Accounts- Exprience - Less than 1 year months
Filing of Income Tax Returns GST Returns e-TDS AIR and more- Exprience - Less than 1 year monthsCompany Details 
company - own practice
description - 1. Drafting and preparation of plaint, Accounts and move before relevant Authority to hear the cases"
Advocate,"Education Details 
 LLB.   Dibrugarh University
Advocate 


Skill Details 
Legal.- Exprience - Less than 1 year monthsCompany Details 
company - Legal.
description - Ã¢Â€Â¢ Advocate"
Advocate,"Education Details 
November 2016 to January 2019 Llm Masters in Law Hyderabad, Telangana Sultan Ul Uloom College Of Law
September 2011 to May 2016 BA.llb Bachelors in Law Hyderabad, Telangana Osmania University PG College Of Law
Advocate 

Experienced in Litigation, Recently Acquired Masters Degree in Law
Skill Details 
Microsoft word- Exprience - Less than 1 year months
litigation- Exprience - Less than 1 year months
Legal Research- Exprience - Less than 1 year months
Contracts- Exprience - Less than 1 year months
Internet Savvy- Exprience - Less than 1 year months
Drafting- Exprience - Less than 1 year monthsCompany Details 
company - LRC Office
description - Ã¢Â€Â¢ Working under Senior Advocate L Ravichander in the High Court of Telangana.
Ã¢Â€Â¢ Experience in drafting
Ã¢Â€Â¢ Legal Correspondence"
Advocate,"SKILLS Ã¢Â€Â¢ Knows English as native speaker (IELTS Overall 8; Listening 8, Reading 8, Writing 7 and Speaking 8.5); Hindi with bilingual proficiency and Punjabi as native speaker. Ã¢Â€Â¢ Able to communicate clearly and concisely with people of diverse backgrounds and levels of authority. Ã¢Â€Â¢ Exceptional knowledge of administrative procedures, evidence rules and trials. Ã¢Â€Â¢ Can maintain a professional attitude with peers, co-workers and clients at all times. Ã¢Â€Â¢ Focused and driven to always meet deadlines for pretrial procedures, trials and appellate briefings by effectively utilizing resources. Ã¢Â€Â¢ A Microsoft Certified Systems Engineer (2008) and very much Competent in Windows and Word processing software Education Details 
July 2009 to May 2012 Bachelor's Laws Bikaner, Rajasthan Maharaja Ganga Singh University
August 2008 to November 2008 Microsoft Certified Systems Engineer Networking Chandigarh 
July 2005 to April 2008 Bachelor's of Science Bio-Informatics Chandigarh, Chandigarh Panjab University
Advocate 

Newcomer Indian Advocate
Skill Details 
Administration- Exprience - 72 months
Legal Research- Exprience - 72 months
Microsoft Office- Exprience - 72 months
Drafting- Exprience - 72 monthsCompany Details 
company - District Courts
description - Key Features

Ã¢Â€Â¢ Licensed Advocate in practice from 16-Aug-2012 (Bar Council of Punjab & Haryana, Chandigarh).
Ã¢Â€Â¢ Admitted to practice at District Courts, Mansa since 18-Aug-2012.
Ã¢Â€Â¢ Successfully passed the All India Bar Examination (AIBE) conducted by Bar Council of India (BCI) in September, 2013.
Ã¢Â€Â¢ Lead/Sole Counsel for plaintiff and respondents in number of criminal/civil trials.
Ã¢Â€Â¢ Since 2012, have prepared and prosecuted to conclusion, either by trial or settlement, number of claim cases involving personal injury or death cases.
Ã¢Â€Â¢ Working on the Panel of District Legal Services Authority, Mansa run under the supervision of National Legal Services Authority, India.
Ã¢Â€Â¢ Former Co-Opted Member Administrative Committee, Punjab.
Ã¢Â€Â¢ Former Joint Secretary at District Bar Association, Mansa (2017-18).

Job Duties

Ã¢Â€Â¢ Advice clients of their legal rights and all matters related to law.
Ã¢Â€Â¢ Plead clients' cases which include various International companies, before courts of law, forums, tribunals and boards.
Ã¢Â€Â¢ Researching legal precedents, gathering evidence and trials of criminal, Injury and death compensation claims and others.
Ã¢Â€Â¢ Draw up legal documents such as bail petitions, appeals, divorces and contracts etc.
Ã¢Â€Â¢ Negotiates settlements of civil disputes.
Ã¢Â€Â¢ Act as mediator, conciliator, local commissioner or arbitrator as per Court orders
Ã¢Â€Â¢ Managing a private practice for more than 6 years, including all aspects of administration and management functions, controlling costs and achieving objectives related to the practice of law."
Advocate,"QUALIFICATION: Introduction to Computer EXTRAEducation Details 
January 2001 to January 2003 Master Law Chennai, Tamil Nadu Dr.Ambedkar Law University
January 1998 to January 2001 Bachelor Law Chennai, Tamil Nadu Dr. Ambedkar Law University
January 1995 to January 1998 Bachelor English Literature Tirunelveli, Tamil Nadu Manonmaniam Sundaranar university
Advocate 

Advocate
Skill Details 
Company Details 
company - Practiced
description - at

* High Court of Judicature at Madras, India

* City Civil Court, Chennai

* Debt Recovery Tribunal, Chennai

* Consumer Forums, Chennai

* Labour Courts

* Small Causes Courts

* Rent control Courts
* Legal advisor for Christian Institute of Management, Chennai in 2016
* Legal Advisor for Ruah church, Chennai and NESSA Trust till 2018"
Advocate,"Skills: Natural Languages: Proficient in English, Hindi and Marathi. Computer skills: Proficient with MS-Office, Internet operation.Education Details 
January 2015 to January 2018 LLB Law Mumbai, Maharashtra Mumbai university
January 2015 B.M.M  Mumbai, Maharashtra S.K.Somaiya College, Mumbai University
 H.S.C   Asmita Girls junior College, Maharashtra Board
 S.S.C Vidya Bhawan  Maharashtra Board
Advocate 

Llb student and Journalist
Skill Details 
Company Details 
company - Criminal lawyer (law firm)
description - "
Advocate,"Skills Legal Writing Efficient researcher Legal Education Family Law Criminal Defence Environment law and litigation Business legal issue Banking Law and commercial lawEducation Details 
January 2014 LLM Criminology Pune, Maharashtra University of Pune
January 2012 LLB Law Pune, Maharashtra University of Pune
January 2012 Diploma Labour Law Pune, Maharashtra University of Pune
Advocate 

Advocate
Skill Details 
LEGAL WRITING- Exprience - 6 months
LITIGATION- Exprience - 6 monthsCompany Details 
company - Family, Criminal in District and Session Court
description - Legal consultancy services for
Co-operative Banks, Scheduled Banks and Private Banks
Clients
Federal Bank (Chinchwad, Pune)
Bharat Co-Operative Bank (Chinchwad, Pune)
ICICI Bank

Scope of work
Finalising Loan Agreements,
Mortgage agreement, Release Deed  and Notice of Intimation,
Title Deed, Search Report
DRT cases
Legal notices for recovery of dues,
Filing Summary suits
Paper Notice,
Power of Attorney
Indemnity bond

Family Law
Legal Consultancy and representation for matters relating to Family disputes such as Marriage and Divorce, Succession, Adoption etc.
Lok Adalat
Panel Judicial Member - Four Times"
Advocate,"Good grasping quality and skillful work Education Details 
March 2013 to March 2018 B. A. LL. B. Law Solapur, Maharashtra Solapur University
Advocate 


Skill Details 
Good knowledge of typing as well as many other activities- Exprience - Less than 1 year monthsCompany Details 
company - District and Session court of solapur
description - Forward thinking individual with refined interpersonal and multitasking skills. Looking to join a progressive organization to provide assistance in Legal work.
company - District and Session court of solapur
description - Provide legal assistance in legal work"
Advocate,"Ã¢Â€Â¢ Hard working Ã¢Â€Â¢ Quick learnerEducation Details 
June 2014 to May 2017 LLB LAW Mumbai, Maharashtra mumbai university
January 2014 B.Com Commerce Mumbai, Maharashtra Mumbai university
January 2011 HSC   Maharashtra board
January 2009 SSC   Maharashtra board
Advocate 


Skill Details 
Company Details 
company - The vidishtra
description - "
Arts,"Ã¢Â€Â¢ Good communication skill Ã¢Â€Â¢ Quick learner Ã¢Â€Â¢ Keen to find solutionsEducation Details 
 MBA Marketing and International Business Management Pune, Maharashtra Pune University
 B-Tech Tech Nagpur, Maharashtra RTM Nagpur University
G.M. Arts, Commerce & Science 

G.M. Arts, Commerce & Science
Skill Details 
Company Details 
company - Samarth College
description - of Engineering        30          7        210 
5      College to campus             VJ College of Pharmacy         10 days' workshop       10

G.M. Arts, Commerce & Science 6          Soft Skills                                               6 days' workshop           6
College

Personality             G.M. Institute of Agricultural 7		6 days' workshop           6
Development                        Diploma 
8          Soft Skills           Samarth College of Polytechnic     20 days' workshop       20

TOTAL                                              350
WORKING EXPERIENCE IN CORPORATE:
Sr. No               Topic                      Company                  No. of days    Total Hrs 
1       Presentation skill & Team    Elringklinger Automotives Pvt 1 Day           8 building Workshop             Ltd, Ranjangaon, Pune 
2           Negotiation skill & Kubler Automation Pvt Ltd., 2 days          16
Communication skill               Chakan, Pune 
3       Business Communication       Finanza Home Loans, Pimple 3 days          21 & Stress management               saudagar, Pune 
4        Team-building & Verbal       Sharvari Products Pvt Ltd, 2 days          16 communication                   Junner, Pune 7 days' 5             Entrepreneurship       Agriculture Research Centre,
Workshop        168
Development               Narayangaon, Pune (8 batches)
TOTAL                                             229

ADJOINING SKILLS: Ã¢Â€Â¢ Working knowledge of Windows operating system and MS Office Ã¢Â€Â¢ Communicate well in English, Hindi & Marathi.
Ã¢Â€Â¢ Organized and participated in events like gathering, teachers day, fashion show and various science exhibitions at college"
Arts,"Ã¢Â€Â¢ Operating Systems: Windows XP / Vista / 07Education Details 
January 2018 M.F.A painting Nagpur, Maharashtra Nagpur University
January 2016 B.F.A. Painting Nagpur, Maharashtra Nagpur University
January 2012 Diploma Art  Maharashtra State Board
January 2010 H.S.C.   Maharashtra State Board
January 2008 S.S.C.   Maharashtra State Board
Fine arts lecturer 


Skill Details 
Ms-Cit- Exprience - 96 monthsCompany Details 
company - Shubhankan Fine Arts College, indore
description - Ã¢Â€Â¢ I'm doing a job as a Lecturer in Shubhankan Fine Arts College Indore from Nov 2018.
Ã¢Â€Â¢ I'm an Artist, completed ATD, BFA and MFA in painting. 
Ã¢Â€Â¢ I'm searching for a job in my faculty in my area and comfort place. To improve my knowledge and experience in this field.
company - 
description - I have a experience of classes of painting, rangoli, drawing, summer classes, etc

Health: Physical Disability ( Orthopedically)"
Arts,"Additional qualifications April 2000, Web Designing Course with above average computer skillsEducation Details 
January 2000 to January 2001 Bachelor of Arts Sociology Mumbai, Maharashtra The Mumbai University
January 1998 to January 2000 Bachelor of Arts Sociology  Sophia College
January 1997 to January 1998 H.S.C.   Sophia College
January 1995 to January 1996 S.S.C.   St. Teresa's Convent High School
Head business development, arts 

Head business development, arts
Skill Details 
Company Details 
company - British Council
description - Responsibilities
ÃƒÂ± Strategic oversight responsibility for programmes in the performing arts (music, theatre and dance) and other cultural sectors.
ÃƒÂ± lead on the conception and oversight of specific large-scale programmes within the overall Arts
programme,
ÃƒÂ± Represent the British Council at external events in India and act as deputy to the Director, Arts when required.
ÃƒÂ± Oversee and manage resources to deliver compelling communications for applicants that convey
British Council's grants like Charles Wallace India trust, Young Creative Entrepreneurs and
Chevening Clore scholarship programs on time and with excellence
ÃƒÂ± Shortlisting and Interviewing potential applicants for existing relevant grants or fellowships.
ÃƒÂ± Oversee a diverse range of proposals, progress reports and related projects
ÃƒÂ± Ensuring effective and timely identification and communication of program progress
ÃƒÂ± Lead a team of six project managers across the country and manage the performance of the team
responsible for executing arts projects with partnerships built into their work, expertise within their
geographic region to ensure arts insight and knowledge is available as and when required.
ÃƒÂ± Managing relations with existing partners, and developing relationships with targeted new partners and key government officials and ensuring that market insight into business development
opportunities is built into the planning of new programmes
ÃƒÂ± Primary strategic responsibility for the marketing of the Arts program in India, to ensure that the program builds a reputation that will be attractive to potential partners, in partnership with the
Marketing and Communications team.
company - British Council
description - is a cultural relations organization creating international opportunities for the people of the UK and other countries by building trust between them worldwide. They have offices in six continents and over 100 countries bringing international opportunity to life, every day. Each year they work with millions of people, connecting them with the United Kingdom, sharing their cultures and the UK's most attractive
assets: English, the Arts, and Education. They have 80 years' experience of doing this
company - British Council
description - Responsibilities
ÃƒÂ± Leading the strategic development of British Council's work in the music sector in India/ Sri Lanka
region and building and maintaining strong international partnerships across sectors in India/ Sri
Lanka and the UK
ÃƒÂ± Developing strong external partnerships that lead to significant external investment in BC activities and enabling the delivery of an ambitious programme of music sector activities and events thus
strengthening cultural relationships between India/ Sri Lanka and the UK
ÃƒÂ±    Leading the implementation of the music programme within India and Sri Lanka along with detailed
project plans in liaison with colleagues from India/ Sri Lanka and the UK
ÃƒÂ±    Proactive management of budgets and timelines for all projects
ÃƒÂ±    Ensuring systematic evaluation of projects, including developing effective systems and processes for capturing both quantitative and qualitative information about effectiveness of projects and longer
term impact
ÃƒÂ±    Management of a team across India and Sri Lanka, contributing to recruitment and development/
mentoring of staff
company - British Council
description - Responsibilities
ÃƒÂ± Planning and organizing logistics related to events, buildings, performers/artists and other
personnel
ÃƒÂ± Marketing a performance or event through social media, direct mail, advertising, use of a website,
producing posters or publicity leaflets and attracting media coverage
ÃƒÂ± Planning and managing budgets
ÃƒÂ± Programming and booking performances and events, including arrangements for tours in India
ÃƒÂ± Development of new projects and initiatives in consultation with arts professionals and key
stakeholders (e.g. local authorities, local government and communities, venue directors and regional partners)
ÃƒÂ± Taking responsibility for operational and office management issues such as venue accessibility,
health and safety issues
ÃƒÂ± Implementing and maintaining office and information systems
ÃƒÂ± Providing administration support to managers and the director
ÃƒÂ± Ensuring corporate and legal requirements are complied with, and reporting to the head of the unit
company - British Council
description - Responsibilities
ÃƒÂ± Developing of new specific new projects and initiatives in the music, film and visual art sector in consultation with the Council and key stakeholders
ÃƒÂ± Planning and managing budgets
ÃƒÂ± Supporting the marketing a performance or event through social media, direct mail, advertising, use of a website, producing posters or publicity leaflets and attracting media coverage
ÃƒÂ± Programming the outreach and workshops for the respective programmes.
company - AirCheck India
description - The company intended to launch stations in both these metros on August 29, 2001.
For its Mumbai FM station, WIN had the basic infrastructure that includes a studio and production facilities.
The transmission tower for the station is located in central Mumbai.

Responsibilities
ÃƒÂ± Generating and researching ideas for programmes and pitching for commissions
ÃƒÂ± Sourcing potential contributors and interviewees
ÃƒÂ± Selecting music appropriate to the programme, the audience and the station
ÃƒÂ± Producing pre-production briefings for presenters, reporters, technical staff and other contributors
ÃƒÂ± Managing the logistics of getting people, resources and equipment together to the right place at the right time
ÃƒÂ± undertaking editing, interviewing and reporting duties as necessary
ÃƒÂ± Presenting programmes or managing presenters for both pre-recorded and recorded output
ÃƒÂ± Checking that copyrights are cleared and understanding media law
ÃƒÂ± Using editing and mixing software's like 'Sonic Foundry Vegas', 'Sonic Foundry Sound Forge',
'Acid', and 'Midi'.
company - Rave Magazine
description - Rave Magazine was the definitive voice of music emerging from the Indian sub-continent and the lifestyle
that surrounds it. Through exclusive reporting, a unique sensibility, and with an editorial team with over 20
years of experience in publishing, RAVE Magazine covers every genre of music emerging from the region and provides new perspectives on International music.

Responsibilities
ÃƒÂ± Maintain production schedules and report on the progress
ÃƒÂ± Overview the staff, manage and supervise photographers and freelance writers and generally
provide administrative support for the editor
ÃƒÂ± Participated in production meetings and brain storming sessions to decide on the direction, future
trends and contents of the publication
company - Xs Events
description - Xs Events is an event management company primarily dealing with corporate clients who used different
events to increase an audience's exposure with a brand.

Responsibilities
ÃƒÂ± Development, production and delivery of projects from proposal right up to delivery.
ÃƒÂ± Delivering events on time, within budget
ÃƒÂ± Maintaining timelines and priorities on every project
ÃƒÂ± Managing supplier relationships
ÃƒÂ±    Managing operational and administrative         functions to ensure specific projects are delivered
efficiently
company - Banyan Tree Communications
description - Responsibilities
ÃƒÂ± Sourcing potential contributors and interviewees
ÃƒÂ± Selecting music appropriate to the programme, the audience and the station
ÃƒÂ± undertaking editing, interviewing and reporting duties as necessary
ÃƒÂ± Checking that copyrights are cleared and understanding media law
company - French Embassy
description - on a part time basis.
company - British Council
description - Mumbai
Advice students on various academic opportunities in the United Kingdom and assisted with various
exhibitions by the British Council."
Arts,"Education Details 
January 2017    Rachana Sansad School of Interior Deign
January 2013    Holy Family High School
 Master of Commerce Marketing Mumbai, Maharashtra University of Mumbai
Drawing & Arts & Craft Teacher 

Drawing & Arts & Craft Teacher - Ghatkopar YMCA
Skill Details 
Company Details 
company - Ghatkopar YMCA
description - for 3 Years.
Ã¢ÂÂ– Worked in Jungle Cubs Gym as a Co-ordinator for 1 Year."
Arts,"Education Details 
August 2018 to January 2021 Entermediate Maths Mumbai, Maharashtra Sunbeam academy , samne ghat , varanasi
Martial arts (fitness job) 


Skill Details 
Company Details 
company - Sports Authority
description - I am 2nd dan black belt in karate (martial arts)
I am in a searching of personal trainer job for fitness.
I won 3 gold medals in national karate championship.
I won 7 gold medals in state karate championship.
3 times best player of the year of uttar pradesh award ..
Represented india and Selected for world karate championship held at Croatia , Europe.
Ã¢Â€Â¢"
Arts,"I Other Skills Course/Skill Name Board Year Of Passing Grade Intermediate Grade Drawing Art Examination Committee, 2011 B Examination Maharashtra State I Academic Programme Detail National Service Scheme (Camp): - Sponsored By Government of India Ministry Of Youth Affairs And Sports, New Delhi & North Maharashtra University, Jalgaon. I Strengths Ã¢Â€Â¢ Ability to Learn From Mistakes. * Honesty Ã¢Â€Â¢ Ready to accept challenges and responsibilities. * Quick learning, adaptability, confidence. I Declaration I /201 Your faithfully, Pia .. . . ( Jetalal Hiralal Gorbanjara)Education Details 
May 2010 HSC  Nashik, Maharashtra State Board
June 2008 SSC  Nashik, Maharashtra State Board
Asst.Professor 

Asst.Professor
Skill Details 
Company Details 
company - Kisan Arts
description - - Total Work Experience ( In Months)
Sr.       Name of Organization / College        Designation              Working Period          Total Experience
No.		( In Months)
From            To
1.        Kisan Arts, Commerce & Science        Asst.Professor      20/07/2015    31/05/2016        10 Months
Sr. College, Parola Dist- Jalgaon, {Political Sci.)
Maharashtra
company - Bahadarpur, Tai- Parola Dist
description - "
Arts,"Ã¢Â€Â¢ Good communication skill Ã¢Â€Â¢ Quick learner Ã¢Â€Â¢ Keen to find solutionsEducation Details 
 MBA Marketing and International Business Management Pune, Maharashtra Pune University
 B-Tech Tech Nagpur, Maharashtra RTM Nagpur University
G.M. Arts, Commerce & Science 

G.M. Arts, Commerce & Science
Skill Details 
Company Details 
company - Samarth College
description - of Engineering        30          7        210 
5      College to campus             VJ College of Pharmacy         10 days' workshop       10

G.M. Arts, Commerce & Science 6          Soft Skills                                               6 days' workshop           6
College

Personality             G.M. Institute of Agricultural 7		6 days' workshop           6
Development                        Diploma 
8          Soft Skills           Samarth College of Polytechnic     20 days' workshop       20

TOTAL                                              350
WORKING EXPERIENCE IN CORPORATE:
Sr. No               Topic                      Company                  No. of days    Total Hrs 
1       Presentation skill & Team    Elringklinger Automotives Pvt 1 Day           8 building Workshop             Ltd, Ranjangaon, Pune 
2           Negotiation skill & Kubler Automation Pvt Ltd., 2 days          16
Communication skill               Chakan, Pune 
3       Business Communication       Finanza Home Loans, Pimple 3 days          21 & Stress management               saudagar, Pune 
4        Team-building & Verbal       Sharvari Products Pvt Ltd, 2 days          16 communication                   Junner, Pune 7 days' 5             Entrepreneurship       Agriculture Research Centre,
Workshop        168
Development               Narayangaon, Pune (8 batches)
TOTAL                                             229

ADJOINING SKILLS: Ã¢Â€Â¢ Working knowledge of Windows operating system and MS Office Ã¢Â€Â¢ Communicate well in English, Hindi & Marathi.
Ã¢Â€Â¢ Organized and participated in events like gathering, teachers day, fashion show and various science exhibitions at college"
Arts,"Ã¢Â€Â¢ Operating Systems: Windows XP / Vista / 07Education Details 
January 2018 M.F.A painting Nagpur, Maharashtra Nagpur University
January 2016 B.F.A. Painting Nagpur, Maharashtra Nagpur University
January 2012 Diploma Art  Maharashtra State Board
January 2010 H.S.C.   Maharashtra State Board
January 2008 S.S.C.   Maharashtra State Board
Fine arts lecturer 


Skill Details 
Ms-Cit- Exprience - 96 monthsCompany Details 
company - Shubhankan Fine Arts College, indore
description - Ã¢Â€Â¢ I'm doing a job as a Lecturer in Shubhankan Fine Arts College Indore from Nov 2018.
Ã¢Â€Â¢ I'm an Artist, completed ATD, BFA and MFA in painting. 
Ã¢Â€Â¢ I'm searching for a job in my faculty in my area and comfort place. To improve my knowledge and experience in this field.
company - 
description - I have a experience of classes of painting, rangoli, drawing, summer classes, etc

Health: Physical Disability ( Orthopedically)"
